id	title	description	availability	inventory	condition	price	sale_price	link	image_link	brand	item_group_id	product_type	google_product_category	custom_label_0	custom_label_1
909569889291	Манго сушеное/вяленое - 500г	Манго сушеное натуральное Вьетнам	in stock	999	new	205.00 UAH		https://smartfood.org.ua/driedfruits/tproduct/320927450-207818399021-mango-sushenoevyalenoe?editionuid=909569889291	https://static.tildacdn.com/tild3839-3832-4334-b362-306531356663/2441553825_w640_h640.jpg	smartfood.org.ua	207818399021	Сухофрукты и цукаты	1755	ad	
577126552881	Манго сушеное/вяленое - 1кг	Манго сушеное натуральное Вьетнам	in stock	999	new	399.00 UAH		https://smartfood.org.ua/driedfruits/tproduct/320927450-207818399021-mango-sushenoevyalenoe?editionuid=577126552881	https://static.tildacdn.com/tild3839-3832-4334-b362-306531356663/2441553825_w640_h640.jpg	smartfood.org.ua	207818399021	Сухофрукты и цукаты	1755	ad	
965640103851	Кешью жареный - 1кг	Кешью жареный натуральный на развес	in stock	999	new	519.00 UAH		https://smartfood.org.ua/nuts/tproduct/320926945-426602872841-keshyu-zharenii?editionuid=965640103851	https://static.tildacdn.com/tild6639-3564-4362-a161-316437343962/778648289_w640_h640_.jpg	smartfood.org.ua	426602872841	Орехи	433	ad	
376121938161	Кешью жареный - 500г	Кешью жареный натуральный на развес	in stock	999	new	265.00 UAH		https://smartfood.org.ua/nuts/tproduct/320926945-426602872841-keshyu-zharenii?editionuid=376121938161	https://static.tildacdn.com/tild6639-3564-4362-a161-316437343962/778648289_w640_h640_.jpg	smartfood.org.ua	426602872841	Орехи	433	ad	
223846647611	Фисташки соленые Иран - 500г	Фисташки соленые высокого качества на развес	in stock	999	new	315.00 UAH		https://smartfood.org.ua/snacks/tproduct/320925559-425982809521-fistashki-solenie-iran?editionuid=223846647611	https://static.tildacdn.com/tild3537-3037-4434-b761-383134323463/fistashkasiraya4.jpg	smartfood.org.ua	425982809521	Снеки	423	ad	snacks
312246584961	Фисташки соленые Иран - 1кг	Фисташки соленые высокого качества на развес	in stock	999	new	615.00 UAH		https://smartfood.org.ua/snacks/tproduct/320925559-425982809521-fistashki-solenie-iran?editionuid=312246584961	https://static.tildacdn.com/tild3537-3037-4434-b761-383134323463/fistashkasiraya4.jpg	smartfood.org.ua	425982809521	Снеки	423	ad	snacks
332010080121	Орех Макадамия в скорлупе - 1кг	Орех Макадамия самый дорогой в мире орех	in stock	999	new	875.00 UAH		https://smartfood.org.ua/nuts/tproduct/320926945-732926887571-oreh-makadamiya-v-skorlupe?editionuid=332010080121	https://static.tildacdn.com/tild6665-3231-4139-b330-373337346436/6015677725.jpg	smartfood.org.ua	732926887571	Орехи	433	ad	
530587440201	Орех Макадамия в скорлупе - 500г	Орех Макадамия самый дорогой в мире орех	in stock	999	new	449.00 UAH		https://smartfood.org.ua/nuts/tproduct/320926945-732926887571-oreh-makadamiya-v-skorlupe?editionuid=530587440201	https://static.tildacdn.com/tild6665-3231-4139-b330-373337346436/6015677725.jpg	smartfood.org.ua	732926887571	Орехи	433	ad	
770610268191	Кунжут черный 1 кг.	Семена кунжута, растения Sesam не шлифованные 1кг. Индия	in stock	999	new	299.00 UAH		https://smartfood.org.ua/seeds/tproduct/320930816-770610268191-kunzhut-chernii-1-kg	https://static.tildacdn.com/tild3862-6665-4333-b031-663435343966/3006056110_kunzhut-c.jpg	smartfood.org.ua	770610268191	Семена, семечки	433	ad	
833875965311	Фундук сырой/ломбардский орех - 1кг	Фундук сырой/ломбардский орех#nbsp;	in stock	999	new	549.00 UAH		https://smartfood.org.ua/nuts/tproduct/320926945-821557301431-funduk-siroilombardskii-oreh?editionuid=833875965311	https://static.tildacdn.com/tild3231-3363-4965-b739-613764373839/lishtina-sira-100g.jpeg	smartfood.org.ua	821557301431	Орехи	433	ad	
374181051671	Фундук сырой/ломбардский орех - 500г	Фундук сырой/ломбардский орех#nbsp;	in stock	999	new	281.00 UAH		https://smartfood.org.ua/nuts/tproduct/320926945-821557301431-funduk-siroilombardskii-oreh?editionuid=374181051671	https://static.tildacdn.com/tild3231-3363-4965-b739-613764373839/lishtina-sira-100g.jpeg	smartfood.org.ua	821557301431	Орехи	433	ad	
701786691381	Фисташка соленая сырая премиум США - 500	Фисташка соленая сырая, премиум США, Калифорния	in stock	999	new	329.00 UAH		https://smartfood.org.ua/snacks/tproduct/320925559-443188520021-fistashka-solenaya-siraya-premium-ssha?editionuid=701786691381	https://static.tildacdn.com/tild3735-3063-4437-a332-663834346233/671d516f104507404da3.jpeg	smartfood.org.ua	443188520021	Снеки	423	ad	snacks
869581234151	Фисташка соленая сырая премиум США - 1000	Фисташка соленая сырая, премиум США, Калифорния	in stock	999	new	649.00 UAH		https://smartfood.org.ua/snacks/tproduct/320925559-443188520021-fistashka-solenaya-siraya-premium-ssha?editionuid=869581234151	https://static.tildacdn.com/tild3735-3063-4437-a332-663834346233/671d516f104507404da3.jpeg	smartfood.org.ua	443188520021	Снеки	423	ad	snacks
507790635231	Кешью сырой - 500	Кешью сырой натуральный	in stock	999	new	259.00 UAH		https://smartfood.org.ua/nuts/tproduct/320926945-801224298091-keshyu-siroi?editionuid=507790635231	https://static.tildacdn.com/tild6434-6666-4661-a234-663937626463/orekh-keshyu-syroj.jpg	smartfood.org.ua	801224298091	Орехи	433	ad	
606332687271	Кешью сырой - 1000	Кешью сырой натуральный	in stock	999	new	505.00 UAH		https://smartfood.org.ua/nuts/tproduct/320926945-801224298091-keshyu-siroi?editionuid=606332687271	https://static.tildacdn.com/tild6434-6666-4661-a234-663937626463/orekh-keshyu-syroj.jpg	smartfood.org.ua	801224298091	Орехи	433	ad	
801272361351	Миндаль карамель - 1кг	Миндаль, миндальный орех (Карамель)	in stock	999	new	449.00 UAH		https://smartfood.org.ua/nuts/tproduct/320926945-645054319621-mindal-karamel?editionuid=801272361351	https://static.tildacdn.com/tild3530-3235-4465-b836-363234616562/4063245.jpg	smartfood.org.ua	645054319621	Орехи	433	ad	
540090743391	Миндаль карамель - 500г	Миндаль, миндальный орех (Карамель)	in stock	999	new	235.00 UAH		https://smartfood.org.ua/nuts/tproduct/320926945-645054319621-mindal-karamel?editionuid=540090743391	https://static.tildacdn.com/tild3530-3235-4465-b836-363234616562/4063245.jpg	smartfood.org.ua	645054319621	Орехи	433	ad	
155255831411	Мускатный орех 1 кг.	Мускатный орех/миристика 1 кг.#nbsp;Индонезия	in stock	999	new	879.00 UAH		https://smartfood.org.ua/nuts/tproduct/320926945-155255831411-muskatnii-oreh-1-kg	https://static.tildacdn.com/tild6661-3236-4362-b762-336535336262/16191561.jpg	smartfood.org.ua	155255831411	Орехи	433	ad	
934500066131	Бразильский орех - 500	Бразильский орех, Южно-Американский орех, Американский орех	in stock	999	new	319.00 UAH		https://smartfood.org.ua/nuts/tproduct/320926945-847979017411-brazilskii-oreh?editionuid=934500066131	https://static.tildacdn.com/tild3838-6534-4332-a634-343539356663/b3b172877c8f1458eb9d.jpg	smartfood.org.ua	847979017411	Орехи	433	ad	
684566827211	Бразильский орех - 1000	Бразильский орех, Южно-Американский орех, Американский орех	in stock	999	new	619.00 UAH		https://smartfood.org.ua/nuts/tproduct/320926945-847979017411-brazilskii-oreh?editionuid=684566827211	https://static.tildacdn.com/tild3838-6534-4332-a634-343539356663/b3b172877c8f1458eb9d.jpg	smartfood.org.ua	847979017411	Орехи	433	ad	
451308466661	Миндаль жареный Золотой - 1кг	Миндальный орех жареный	in stock	999	new	449.00 UAH		https://smartfood.org.ua/nuts/tproduct/320926945-615054843341-mindal-zharenii-zolotoi?editionuid=451308466661	https://static.tildacdn.com/tild6465-3963-4833-b034-363337636562/147581736215890.jpg	smartfood.org.ua	615054843341	Орехи	433	ad	
439022151071	Миндаль жареный Золотой - 500г	Миндальный орех жареный	in stock	999	new	235.00 UAH		https://smartfood.org.ua/nuts/tproduct/320926945-615054843341-mindal-zharenii-zolotoi?editionuid=439022151071	https://static.tildacdn.com/tild6465-3963-4833-b034-363337636562/147581736215890.jpg	smartfood.org.ua	615054843341	Орехи	433	ad	
659013285201	Арахис сырой - 1кг	Арахис сырой высшего сорта, Узбекистан	in stock	999	new	175.00 UAH		https://smartfood.org.ua/nuts/tproduct/320926945-473562956981-arahis-siroi?editionuid=659013285201	https://static.tildacdn.com/tild3139-3232-4261-b139-623166333933/large_D0B0D180D0B0D1.jpg	smartfood.org.ua	473562956981	Орехи	433	ad	
940229229131	Фундук жареный - 1кг	Фундук жареный очищенный натуральный	in stock	999	new	429.00 UAH		https://smartfood.org.ua/nuts/tproduct/320926945-978775001961-funduk-zharenii?editionuid=940229229131	https://static.tildacdn.com/tild3530-3764-4730-a537-653666323834/funduk-zhar.jpg	smartfood.org.ua	978775001961	Орехи	433	ad	
136023674061	Фундук жареный - 500г	Фундук жареный очищенный натуральный	in stock	999	new	225.00 UAH		https://smartfood.org.ua/nuts/tproduct/320926945-978775001961-funduk-zharenii?editionuid=136023674061	https://static.tildacdn.com/tild3530-3764-4730-a537-653666323834/funduk-zhar.jpg	smartfood.org.ua	978775001961	Орехи	433	ad	
833573826381	Арахис соленый - 1кг	Арахис соленый очищенный высшего сорта	in stock	999	new	186.00 UAH		https://smartfood.org.ua/nuts/tproduct/320926945-184798587541-arahis-solenii?editionuid=833573826381	https://static.tildacdn.com/tild3962-6331-4833-a135-623065363231/82927797a8596d6a504e.jpeg	smartfood.org.ua	184798587541	Орехи	433	ad	
816361512621	Миндаль Золотой сырой - 1кг	Миндальный орех Золотой ядро	in stock	999	new	399.00 UAH		https://smartfood.org.ua/nuts/tproduct/320926945-401227579941-mindal-zolotoi-siroi?editionuid=816361512621	https://static.tildacdn.com/tild3036-3131-4162-b261-636338306131/3985_big.jpg	smartfood.org.ua	401227579941	Орехи	433	ad	
534955585421	Миндаль Золотой сырой - 500г	Миндальный орех Золотой ядро	in stock	999	new	219.00 UAH		https://smartfood.org.ua/nuts/tproduct/320926945-401227579941-mindal-zolotoi-siroi?editionuid=534955585421	https://static.tildacdn.com/tild3036-3131-4162-b261-636338306131/3985_big.jpg	smartfood.org.ua	401227579941	Орехи	433	ad	
727542738921	Чечевица красная 1 кг.	Чечевица красная высокого качества 1 кг. Индия	in stock	999	new	111.00 UAH		https://smartfood.org.ua/flour-cereals/tproduct/320929810-727542738921-chechevitsa-krasnaya-1-kg	https://static.tildacdn.com/tild6133-3433-4866-b963-643831663962/000001452.jpg	smartfood.org.ua	727542738921	Мука, крупы, мюсли, кранчи	431	ad	
849399126881	Мак кондитерский 1 кг.	Мак кондитерский натуральный 1 кг. Украина	in stock	999	new	205.00 UAH		https://smartfood.org.ua/flour-cereals/tproduct/320929810-849399126881-mak-konditerskii-1-kg	https://static.tildacdn.com/tild3232-3765-4535-b166-636565386533/2328889937_mak-kondi.jpg	smartfood.org.ua	849399126881	Мука, крупы, мюсли, кранчи	431	ad	
357189944691	"Ореховый коктейль ""Витамин"" Asal 400г"	Ореховый набор без содержания сахара 400г	in stock	999	new	149.00 UAH		https://smartfood.org.ua/nuts/tproduct/320926945-357189944691-orehovii-kokteil-vitamin-asal-400g	https://static.tildacdn.com/tild3531-3861-4034-b562-303264626431/vostochnye-sladosti-.jpg	Asal	357189944691	Орехи	433	ad	
422896621451	Сгущённое обезжиренное молоко Benestare Leche Condensada Desnatada 1035г	Сгущённое обезжиренное молоко без глютена 1035г	in stock	999	new	265.00 UAH		https://smartfood.org.ua/chocolate-sweets/tproduct/320927101-422896621451-sguschyonnoe-obezzhirennoe-moloko-benest	https://static.tildacdn.com/tild6335-3363-4664-b266-616666396139/D0B1D0B5D0BDD0B5D181.jpg	smartfood.org.ua	422896621451	Шоколад и Сладости	4748	free	
183619037441	Черный шоколад Dolciando Cioccolato Extra Fondente 500г	Черный шоколад Dolciando Cioccolato Extra Fondente 500г	in stock	999	new	199.00 UAH		https://smartfood.org.ua/chocolate-sweets/tproduct/320927101-183619037441-chernii-shokolad-dolciando-cioccolato-ex	https://static.tildacdn.com/tild6433-3562-4963-a635-363166383763/H61NukV8yp9ndGzeATTe.jpg	smartfood.org.ua	183619037441	Шоколад и Сладости	4748	free	
159308235381	Шоколад черный без сахара с ягодами Torras Negro & Frutas del Bosquo 125г	Шоколад черный без сахара и глютена с лесными ягодами 125г	in stock	999	new	117.00 UAH		https://smartfood.org.ua/chocolate-sweets/tproduct/320927101-159308235381-shokolad-chernii-bez-sahara-s-yagodami-t	https://static.tildacdn.com/tild3039-3061-4066-b966-353130393034/2550199936_w640_h640.jpg	Torras	159308235381	Шоколад и Сладости	4748	free	
977067129211	"Спагетти с чернилами каракатицы ""Dalla Costa"" 500г"	Макароны с чернилами каракатицы Dalla Costa Италия, 500г	in stock	999	new	199.00 UAH		https://smartfood.org.ua/pasta/tproduct/320928224-977067129211-spagetti-s-chernilami-karakatitsi-dalla	https://static.tildacdn.com/tild3531-3933-4932-a437-666665333933/u32892-1000x1000.jpg	smartfood.org.ua	977067129211	Макаронные изделия	434	free	
644192835961	Оливковое масло Monterico Aceite de Oliva virgen extre 1л	Оливковое масло Monterico Aceite de Oliva virgen extre 1л Испания	in stock	999	new	399.00 UAH		https://smartfood.org.ua/oil/tproduct/320929475-644192835961-olivkovoe-maslo-monterico-aceite-de-oliv	https://static.tildacdn.com/tild6331-3763-4066-a630-646264373765/2951347892_olivkova-.jpg	Monterrico	644192835961	Масло	5827	ad	
255158779921	Оливковый коктейль Corbi Coctel Mediterraneo 700г	Оливки коктейль Corbi Coctel Mediterraneo 700г Испания	in stock	999	new	230.00 UAH		https://smartfood.org.ua/canned/tproduct/320925876-255158779921-olivkovii-kokteil-corbi-coctel-mediterra	https://static.tildacdn.com/tild6238-3037-4862-b834-393362623237/cfa6734f-9a95-11ea-8.jpeg	Corbi	255158779921	Консервация, консервы	5811	free	
529564148271	Кокосовое масло рафинированное Olej Kokosowy Vitanella 500мл	Кокосовое масло рафинированное Olej Kokosowy Vitanella 500мл. Польша	in stock	999	new	139.00 UAH		https://smartfood.org.ua/oil/tproduct/320929475-529564148271-kokosovoe-maslo-rafinirovannoe-olej-koko	https://static.tildacdn.com/tild3836-3136-4338-a264-396534613331/1755053093_maslo-kok.jpg	smartfood.org.ua	529564148271	Масло	5827	ad	
167208549131	Оливковое масло нефильтрованное Monterico Aceite de Oliva virgen extre 1л	Оливковое масло нефильтрованное Monterico Aceite de Oliva virgen extre 1л Испания	in stock	999	new	399.00 UAH		https://smartfood.org.ua/oil/tproduct/320929475-167208549131-olivkovoe-maslo-nefiltrovannoe-monterico	https://static.tildacdn.com/tild6136-6138-4835-b832-613062663836/2951347892_olivkovoe.jpg	Monterrico	167208549131	Масло	5827	ad	
873708014991	Смесь пяти масел Costa d'Oro Vitapiu 750 мл	Смесь пяти масел первого холодного отжима Costa d'Oro Vitapiu Omega- 3, 750 мл Италия	in stock	999	new	299.00 UAH		https://smartfood.org.ua/oil/tproduct/320929475-873708014991-smes-pyati-masel-costa-doro-vitapiu-750	https://static.tildacdn.com/tild3232-3664-4161-b663-353838386431/Costa-DOro-Vitapiu-O.jpg	Costadoro	873708014991	Масло	5827	ad	
658764972921	Оливковое масло Olio Extra Vergine di Oliva VesuVio 5л	Оливковое масло Olio Extra Vergine di Oliva VesuVio 5л из Италии	in stock	999	new	499.00 UAH		https://smartfood.org.ua/oil/tproduct/320929475-658764972921-olivkovoe-maslo-olio-extra-vergine-di-ol	https://static.tildacdn.com/tild6131-6432-4230-a532-613639343235/D0BED0BBD0B8D0B2D0BA.jpg	smartfood.org.ua	658764972921	Масло	5827	ad	
754479265561	Оливки зеленые Пальчики Bravo aceitunas chupadedos con hueso 1000г	Оливки зеленые Пальчики Bravo aceitunas chupadedos con hueso 1000г Испания	in stock	999	new	276.00 UAH		https://smartfood.org.ua/canned/tproduct/320925876-754479265561-olivki-zelenie-palchiki-bravo-aceitunas	https://static.tildacdn.com/tild3931-6164-4330-b938-326330323638/bravo-aceitunas-chup.jpg	Bravo	754479265561	Консервация, консервы	5811	free	
671073026341	Оливки черные без косточки Oliwki Czarne Helcom 345г	Оливки черные без косточки Oliwki Czarne Helcom 345г Польша	in stock	999	new	104.00 UAH		https://smartfood.org.ua/canned/tproduct/320925876-671073026341-olivki-chernie-bez-kostochki-oliwki-czar	https://static.tildacdn.com/tild3432-3132-4237-b837-373266616338/253402616_images_201.jpg	Helcom	671073026341	Консервация, консервы	5811	free	
794123618211	Оливковое масло De Cecco Classico Olio Extra Vergine di Oliva 5л	Оливковое масло De Cecco Classico Olio Extra Vergine di Oliva 5л.	in stock	999	new	682.00 UAH		https://smartfood.org.ua/oil/tproduct/320929475-794123618211-olivkovoe-maslo-de-cecco-classico-olio-e	https://static.tildacdn.com/tild6261-6338-4130-b534-656136353563/D0B4D0B5D187D0B5D0BA.jpg	De Cecco	794123618211	Масло	5827	ad	
